mold_name,timestamp,material_name,machine_tonnage,cycle_number,hopper_temp,nozzle_temp,H1,H2,H3,mold_core_temp,mold_cavity_temp,inj_speed1,inj_speed2,inj_speed3,actual_inj_pressure,vp_transition,inj_time_actual,holding_pressure_stage1,holding_pressure_stage2,holding_pressure_stage3,screw_rpm,back_pressure,decompression_speed,decompression_distance,cushion_size,clamp_force,mold_close_speed,mold_protection_pressure,ejection_stroke,ejection_speed,cooling_time,mold_open_reset_time,part_weight,shot_weight,screw_diameter,total_cycle_time,Hopper_State,Barrel_Heater_State,Screw_State,Injection_Unit_State,Hydraulic_System_State,Clamp_Unit_State,Mold_State,Cooling_System_State,Ejector_System_State
Smart Router Enclosure,00:00.0,"ABS (Flame Retardant, Medium Flow)",180,1,45,230,225,211,201,67,70,34,57,19,120,8.9,1.33,76,53,34,76,8,14,4.8,4,134,248,12,48,38,14.66,3.67,34.4,86.1,45,24.61,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,00:24.6,"ABS (Flame Retardant, Medium Flow)",180,2,44,231,225,216,198,65,72,34,55,20,119,8.5,1.38,74,52,34,75,8,16,5.1,3.8,133,248,12,47,39,14.07,3.69,34,85.3,45,24.13,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,00:48.7,"ABS (Flame Retardant, Medium Flow)",180,3,45,229,225,215,200,65,71,35,58,20,121,8.6,1.37,73,54,34,76,8,14,4.9,4.1,133,236,12,46,38,14.57,3.59,34.9,82.9,45,24.49,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,01:13.2,"ABS (Flame Retardant, Medium Flow)",180,4,45,230,224,214,203,65,71,35,60,18,118,8.6,1.34,76,56,35,74,8,15,5.2,4,140,241,11,47,39,14.26,3.41,33.5,84.2,45,24.06,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,01:37.3,"ABS (Flame Retardant, Medium Flow)",180,5,45,230,224,215,202,65,69,34,58,19,117,9,1.35,76,53,35,74,8,14,4.8,4.1,138,253,11,43,39,13.96,3.44,33.5,79.8,45,23.63,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,02:00.9,"ABS (Flame Retardant, Medium Flow)",180,6,43,230,224,215,198,65,71,33,58,21,117,8.3,1.38,75,54,33,75,8,14,5.1,4.2,130,252,12,46,39,14.63,3.77,34.4,86.7,45,24.73,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,02:25.7,"ABS (Flame Retardant, Medium Flow)",180,7,42,229,225,216,200,67,69,32,57,21,122,8.5,1.38,75,56,34,71,8,15,5.2,4.2,135,262,12,44,42,15.08,3.57,34.5,86.2,45,25.01,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,02:50.7,"ABS (Flame Retardant, Medium Flow)",180,8,44,232,226,215,200,64,70,34,56,21,125,8.7,1.36,78,53,34,74,8,15,4.9,4.1,130,252,12,45,37,14.98,3.52,33.6,81.7,45,24.82,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,03:15.5,"ABS (Flame Retardant, Medium Flow)",180,9,44,231,226,215,200,64,72,34,58,18,122,8.9,1.38,73,52,35,73,8,15,5.1,3.8,132,245,12,46,40,15.04,3.62,34.2,82.4,45,25.01,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,03:40.5,"ABS (Flame Retardant, Medium Flow)",180,10,45,228,227,214,203,64,69,37,62,20,123,8.5,1.39,71,56,34,73,8,14,5.1,4,136,248,13,47,41,14.11,3.78,33.7,81.6,45,24.32,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,04:04.8,"ABS (Flame Retardant, Medium Flow)",180,11,41,232,225,216,200,65,70,35,60,21,123,8.5,1.34,72,52,34,74,8,15,5,4.4,133,259,12,46,39,14.16,3.41,33.8,82.4,45,23.96,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,04:28.8,"ABS (Flame Retardant, Medium Flow)",180,12,45,230,226,212,204,63,71,34,61,20,119,8.8,1.32,73,53,33,76,8,14,5.1,3.7,135,260,12,46,40,14.88,3.4,33.9,82.8,45,24.59,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,04:53.4,"ABS (Flame Retardant, Medium Flow)",180,13,46,230,223,215,199,64,72,36,60,22,121,8.7,1.26,75,56,35,74,8,14,4.9,4.2,130,256,12,44,38,14.55,3.51,33.2,82.7,45,24.32,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,05:17.7,"ABS (Flame Retardant, Medium Flow)",180,14,46,231,226,213,200,66,69,35,61,19,120,8.8,1.35,73,56,34,72,8,15,5.2,4.1,134,240,12,45,41,14.83,3.59,35.5,85,45,24.85,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,05:42.5,"ABS (Flame Retardant, Medium Flow)",180,15,46,231,227,215,200,66,70,34,61,21,122,8.4,1.4,70,56,36,70,8,14,5.1,3.9,131,246,12,45,41,15,3.39,33.5,83.5,45,24.79,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,06:07.3,"ABS (Flame Retardant, Medium Flow)",180,16,43,229,227,216,200,67,72,33,58,19,118,8.5,1.4,74,54,34,75,9,15,5.4,4.2,132,249,12,47,38,14.65,3.5,33.8,87.1,45,24.59,0,0,0,0,0,0,0,0,0
Smart Router Enclosure,06:31.9,"ABS (Flame Retardant, Medium Flow)",180,17,44,231,228,215,201,66,72,34,62,21,125,8.5,1.39,72,54,36,71,8,14,5.2,4.1,133,246,12,43,38,13.93,3.53,34.7,84.3,45,23.91,0,0,0,0,0,0,0,0,0
